Start  Time: 2024/01/07, 10:07:40.568
Export Time: 2024/01/07, 10:08:03.256
Min  (dBA):   27.6
Max  (dBA):   43.1
Peak (dBA):   50.5
Avg  (dBA):   37.3
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
28.3,0.2
31.7,0.2
33.6,0.2
32.4,0.2
32.1,0.2
32.1,0.2
30.7,0.2
30.1,0.2
29.3,0.2
28.5,0.2
34.0,0.2
32.8,0.2
38.6,0.2
40.9,0.2
35.2,0.2
34.3,0.2
37.7,0.2
37.8,0.2
40.6,0.2
38.3,0.2
37.7,0.2
38.5,0.2
41.0,0.2
32.2,0.2
41.3,0.2
40.3,0.2
39.9,0.2
40.5,0.2
41.1,0.2
41.9,0.2
42.1,0.2
40.7,0.2
39.4,0.2
43.1,0.2
28.6,0.2
28.6,0.2
28.0,0.2
28.5,0.2
38.2,0.2
39.3,0.2
41.2,0.2
37.7,0.2
36.2,0.2
37.8,0.2
40.2,0.2
35.0,0.2
38.4,0.2
38.9,0.2
36.8,0.2
34.1,0.2
38.0,0.2
38.0,0.2
40.7,0.2
37.1,0.2
38.9,0.2
36.4,0.2
35.6,0.2
37.9,0.2
35.2,0.2
38.4,0.2
38.2,0.2
34.8,0.2
35.0,0.2
33.8,0.2
35.9,0.2
32.8,0.2
34.6,0.2
36.0,0.2
35.0,0.2
35.7,0.2
34.6,0.2
35.9,0.2
34.0,0.2
37.5,0.2
35.9,0.2
36.1,0.2
33.2,0.2
37.0,0.2
31.0,0.2
36.1,0.2
34.4,0.2
34.8,0.2
33.5,0.2
35.2,0.2
35.9,0.2
33.4,0.2
35.0,0.2
34.3,0.2
35.7,0.2
32.9,0.2
34.7,0.2
34.8,0.2
35.9,0.2
33.7,0.2
33.9,0.2
34.8,0.2
28.4,0.2
28.6,0.2
27.8,0.2
27.6,0.2
27.6,0.2
27.8,0.2
27.8,0.2
27.8,0.2
28.2,0.2
28.6,0.2
28.5,0.2
28.2,0.2
28.0,0.2
28.2,0.2
38.0,0.2
36.0,0.2
38.5,0.2
37.2,0.2
34.2,0.2
37.1,0.2
38.0,0.2
40.4,0.2
37.9,0.2
38.9,0.2
37.9,0.2
38.8,0.2
38.2,0.2
40.1,0.2
40.6,0.2
41.4,0.2
41.0,0.2
41.0,0.2
40.7,0.2
38.3,0.2
41.7,0.2
42.0,0.2
40.8,0.2
29.5,0.2
28.6,0.2
29.0,0.2
28.3,0.2
37.3,0.2
38.7,0.2
38.2,0.2
40.6,0.2
37.3,0.2
39.4,0.2
35.9,0.2
39.4,0.2
39.0,0.2
37.6,0.2
38.7,0.2
38.7,0.2
